target_id	length	eff_length	est_counts	tpm
BGER000001-RA	1610	893.007	13	4.23979
BGER000002-RA	279	69.9762	2	8.32407
BGER000003-RA	633	122.249	32	76.236
BGER000004-RA	850	198.504	11	16.1391
BGER000005-RA	354	53.8041	1	5.41303
BGER000006-RA	1584	867.007	16	5.37469
BGER000007-RA	1170	453.007	13	8.35785
BGER000008-RA	3057	2340.01	124	15.4334
BGER000009-RA	1167	450.007	42	27.1823
BGER000010-RA	2030	1313.01	190	42.1447
BGER000011-RA	1332	615.007	0	0
BGER000012-RA	2308	1591.01	192	35.1467
BGER000013-RA	2334	1617.01	10	1.80113
BGER000014-RA	5616	4899.01	2	0.118899
BGER000015-RA	1802	1085.01	46	12.3476
BGER000016-RA	588	114.548	14	35.5957
BGER000017-RA	3297	2580.01	48	5.41846
BGER000018-RA	207	72.3333	9	36.2376
BGER000019-RA	6354	5637.01	119	6.14829
BGER000020-RA	2793	2076.01	0	0
BGER000021-RA	1254	537.007	214	116.062
BGER000022-RA	1047	330.007	84	74.1332
BGER000023-RA	2395	1678.01	6	1.04139
BGER000024-RA	279	69.9762	0	0
BGER000025-RA	1149	432.007	0	0
BGER000026-RA	909	226.457	57	73.3069
BGER000027-RA	1271	554.007	57	29.9651
BGER000028-RA	960	256.472	0	0
BGER000029-RA	1023	306.007	12	11.4211
BGER000030-RA	388	58.7188	0	0
BGER000031-RA	1318	601.007	18	8.72266
BGER000032-RA	966	259.669	0	0
BGER000033-RA	648	125.833	2.22146	5.14162
BGER000034-RA	5152	4435.01	32.117	2.1091
BGER000035-RA	636	122.97	37	87.6311
BGER000036-RA	1815	1098.01	170	45.092
BGER000037-RA	3132	2415.01	187	22.5517
BGER000038-RA	450	82.1161	0	0
BGER000039-RA	3421	2704.01	3.25509	0.350599
BGER000040-RA	906	225.196	0	0
BGER000041-RA	2733	2016.01	75.3067	10.8792
BGER000042-RA	2384	1667.01	80.6933	14.098
BGER000043-RA	714	142.984	2	4.07379
BGER000044-RA	564	109.197	0	0
BGER000045-RA	1110	393.007	38	28.1605
BGER000046-RA	2307	1590.01	31	5.6783
BGER000047-RA	324	43.4506	0	0
BGER000048-RA	537	104.091	0	0
BGER000049-RA	1047	330.007	0	0
BGER000050-RA	1098	381.007	0	0
BGER000051-RA	474	90.76	0	0
BGER000052-RA	1572	855.007	9	3.06569
BGER000053-RA	411	66.7363	1	4.36409
BGER000054-RA	1299	582.007	14	7.00577
BGER000055-RA	1638	921.007	34.1537	10.8002
BGER000056-RA	456	84.7913	2	6.86965
BGER000057-RA	1743	1026.01	55	15.6124
BGER000058-RA	953	251.886	25	28.9062
BGER000059-RA	1173	456.007	0	0
BGER000060-RA	543	104.943	0	0
BGER000061-RA	342	48.939	0.192054	1.14294
BGER000062-RA	570	111.651	0	0
BGER000063-RA	693	135.916	2	4.28564
BGER000064-RA	757	158.472	0	0
BGER000065-RA	357	54.0349	5	26.9496
BGER000066-RA	885	214.186	7	9.51836
BGER000067-RA	1017	300.007	0	0
BGER000068-RA	867	205.641	0	0
BGER000069-RA	686	134.368	11	23.8426
BGER000070-RA	1686	969.007	34	10.219
BGER000071-RA	996	279.962	0	0
BGER000072-RA	276	72.2308	0	0
BGER000073-RA	586	114.113	93	237.359
BGER000074-RA	969	261.428	43	47.9041
BGER000075-RA	177	61.8182	4	18.8452
BGER000076-RA	1119	402.007	6	4.34684
BGER000077-RA	213	73.5	3	11.8875
BGER000078-RA	993	277.717	2	2.09741
BGER000079-RA	1549	832.007	19	6.65093
BGER000080-RA	3908	3191.01	199.77	18.233
BGER000081-RA	1530	813.007	56	20.0609
BGER000082-RA	561	108.014	13	35.0525
BGER000083-RA	909	226.457	18	23.1496
BGER000084-RA	261	71.4688	0	0
BGER000085-RA	1342	625.007	55	25.6291
BGER000086-RA	834	190.695	243	371.127
BGER000087-RA	1374	657.007	1	0.443288
BGER000088-RA	1032	315.007	1	0.924562
BGER000089-RA	543	104.943	0	0
BGER000090-RA	1061	344.007	220	186.257
