target_id	length	eff_length	est_counts	tpm
BGER000001-RA	1610	1001.18	81	8.96246
BGER000002-RA	279	53.1013	5	10.4308
BGER000003-RA	633	166.813	33	21.9148
BGER000004-RA	850	275.744	115	46.2004
BGER000005-RA	354	39.6024	1	2.79725
BGER000006-RA	1584	975.178	116	13.1773
BGER000007-RA	1170	561.178	67	13.226
BGER000008-RA	3057	2448.18	155	7.01362
BGER000009-RA	1167	558.178	27	5.35852
BGER000010-RA	2030	1421.18	63	4.91073
BGER000011-RA	1332	723.178	0	0
BGER000012-RA	2308	1699.18	253	16.4944
BGER000013-RA	2334	1725.18	8	0.5137
BGER000014-RA	5616	5007.18	9	0.199115
BGER000015-RA	1802	1193.18	4	0.371371
BGER000016-RA	588	150.513	13	9.56804
BGER000017-RA	3297	2688.18	72	2.96707
BGER000018-RA	207	78.6316	16	22.5412
BGER000019-RA	6354	5745.18	315	6.0738
BGER000020-RA	2793	2184.18	0	0
BGER000021-RA	1254	645.178	205	35.1988
BGER000022-RA	1047	438.178	132	33.3716
BGER000023-RA	2395	1786.18	22	1.36443
BGER000024-RA	279	53.1013	0	0
BGER000025-RA	1149	540.178	5	1.02538
BGER000026-RA	909	316.811	246	86.0177
BGER000027-RA	1271	662.178	298	49.8534
BGER000028-RA	960	357.059	0	0
BGER000029-RA	1023	414.178	138	36.9101
BGER000030-RA	388	54.5968	4	8.11608
BGER000031-RA	1318	709.178	141	22.0251
BGER000032-RA	966	362.076	0	0
BGER000033-RA	648	173.411	1.6024	1.02364
BGER000034-RA	5152	4543.18	228.277	5.56616
BGER000035-RA	636	167.791	28	18.486
BGER000036-RA	1815	1206.18	178	16.3479
BGER000037-RA	3132	2523.18	16	0.702467
BGER000038-RA	450	86.2254	0	0
BGER000039-RA	3421	2812.18	59.8619	2.3581
BGER000040-RA	906	314.739	3	1.0559
BGER000041-RA	2733	2124.18	115.801	6.03917
BGER000042-RA	2384	1775.18	386.199	24.1003
BGER000043-RA	714	201.818	21	11.5269
BGER000044-RA	564	139.051	0	0
BGER000045-RA	1110	501.178	15	3.31553
BGER000046-RA	2307	1698.18	3	0.1957
BGER000047-RA	324	28.3904	0	0
BGER000048-RA	537	126.447	0	0
BGER000049-RA	1047	438.178	0	0
BGER000050-RA	1098	489.178	1	0.226457
BGER000051-RA	474	97.6785	0	0
BGER000052-RA	1572	963.178	46	5.2906
BGER000053-RA	411	65.5046	12	20.2938
BGER000054-RA	1299	690.178	31	4.9757
BGER000055-RA	1638	1029.18	69.2715	7.4562
BGER000056-RA	456	88.977	6	7.47012
BGER000057-RA	1743	1134.18	38	3.71156
BGER000058-RA	953	351.318	23	7.25239
BGER000059-RA	1173	564.178	1	0.196353
BGER000060-RA	543	129.691	0	0
BGER000061-RA	342	34.6842	5.82021	18.5892
BGER000062-RA	570	141.767	0	0
BGER000063-RA	693	192.423	0	0
BGER000064-RA	757	222.24	2	0.996921
BGER000065-RA	357	40.6571	2	5.44939
BGER000066-RA	885	299.257	18	6.66319
BGER000067-RA	1017	408.178	0	0
BGER000068-RA	867	286.829	3	1.15865
BGER000069-RA	686	189.196	51	29.8615
BGER000070-RA	1686	1077.18	213	21.9051
BGER000071-RA	996	387.45	0	0
BGER000072-RA	276	56.6714	0	0
BGER000073-RA	586	149.425	398	295.063
BGER000074-RA	969	364.562	20	6.07733
BGER000075-RA	177	70.9286	5	7.80913
BGER000076-RA	1119	510.178	1	0.217136
BGER000077-RA	213	84.6316	1	1.30894
BGER000078-RA	993	384.836	7	2.015
BGER000079-RA	1549	940.178	288	33.9341
BGER000080-RA	3908	3299.18	1253.15	42.0775
BGER000081-RA	1530	921.178	11	1.32283
BGER000082-RA	561	137.822	8	6.43021
BGER000083-RA	909	316.811	16	5.59465
BGER000084-RA	261	67.6957	0	0
BGER000085-RA	1342	733.178	26	3.92842
BGER000086-RA	834	265.252	62	25.8933
BGER000087-RA	1374	765.178	0	0
BGER000088-RA	1032	423.178	0	0
BGER000089-RA	543	129.691	0	0
BGER000090-RA	1061	452.178	433	106.08
BGER000091-RA	225	74.84	0	0
BGER000092-RA	2790	2181.18	3	0.152365
BGER000093-RA	222	74.875	1	1.47951
BGER000094-RA	222	74.875	0	0
BGER000095-RA	222	74.875	0	0
BGER000096-RA	222	74.875	1	1.47951
BGER000097-RA	1078	469.178	3	0.708332
BGER000098-RA	783	236.273	1	0.468856
BGER000099-RA	1044	435.178	20	5.09116
BGER000100-RA	912	319.113	138	47.9058
BGER000101-RA	419	69.9245	28	44.359
BGER000102-RA	2859	2250.18	456.505	22.4741
BGER000103-RA	973	368.007	172	51.7757
BGER000104-RA	1534	925.178	3	0.359211
BGER000105-RA	1311	702.178	106	16.7229
BGER000106-RA	654	175.486	17	10.7315
BGER000107-RA	1224	615.178	17	3.06127
BGER000108-RA	831	263.487	40	16.8173
BGER000109-RA	660	177.924	56	34.8664
BGER000110-RA	864	284.797	137	53.2892
BGER000111-RA	824	258.793	160	68.4889
BGER000112-RA	621	163.231	16.2972	11.0602
BGER000113-RA	1851	1242.18	63.4129	5.65519
BGER000114-RA	705	198.013	15	8.39173
BGER000115-RA	3927	3318.18	92	3.07144
BGER000116-RA	1983	1374.18	77	6.20728
BGER000117-RA	828	261.508	117	49.5627
BGER000118-RA	4470	3861.18	73	2.09439
BGER000119-RA	1711	1102.18	410.378	41.2464
BGER000120-RA	2451	1842.18	1	0.0601343
BGER000121-RA	1489	880.178	0	0
BGER000122-RA	830	262.938	0	0
BGER000123-RA	552	133.959	0	0
BGER000124-RA	1339	730.178	0	0
BGER000125-RA	6621	6012.18	259.263	4.77707
BGER000126-RA	552	133.959	0	0
BGER000127-RA	486	103.436	0	0
BGER000128-RA	684	188.419	10	5.87935
BGER000129-RA	1020	411.178	6	1.6165
BGER000130-RA	1923	1314.18	13	1.09583
BGER000131-RA	867	286.829	13	5.02081
BGER000132-RA	394	57.6437	0	0
BGER000133-RA	621	163.231	0	0
