FBgn0261983	Bger_01352
FBgn0050410	Bger_23408
FBgn0033972	Bger_24136
FBgn0265011	Bger_19965
FBgn0031988	Bger_01427
FBgn0027558	Bger_05560
FBgn0036643	Bger_00296
FBgn0000617	Bger_24389
FBgn0025807	Bger_23282
FBgn0086253	Bger_14428
FBgn0040232	Bger_21498
FBgn0039731	Bger_14862
FBgn0032850	Bger_06631
FBgn0051036	Bger_09804
FBgn0031170	Bger_19461
FBgn0001280	Bger_08759
FBgn0003042	Bger_12132
FBgn0032197	Bger_02092
FBgn0053993	Bger_03234
FBgn0033019	Bger_08047
FBgn0033529	Bger_11408
FBgn0053208	Bger_08223
FBgn0036152	Bger_20121
FBgn0037342	Bger_15671
FBgn0283450	Bger_21846
FBgn0025469	Bger_00024
FBgn0035228	Bger_09232
FBgn0023512	Bger_17905
FBgn0002643	Bger_01597
FBgn0011280	Bger_04652
FBgn0024188	Bger_01509
FBgn0266053	Bger_24838
FBgn0013307	Bger_24293
FBgn0026876	Bger_14164
FBgn0037638	Bger_15070
FBgn0051852	Bger_07882
FBgn0052819	Bger_20591
FBgn0036838	Bger_04012
FBgn0085446	Bger_21876
FBgn0041247	Bger_18231
FBgn0263395	Bger_19346
FBgn0037989	Bger_20135
FBgn0033686	Bger_05728
FBgn0052282	Bger_23107
FBgn0003575	Bger_00788
FBgn0037383	Bger_09668
FBgn0029944	Bger_12689
FBgn0029079	Bger_06626
FBgn0265137	Bger_07700
FBgn0015298	Bger_16859
FBgn0267002	Bger_03043
FBgn0053508	Bger_18015
FBgn0050069	Bger_06483
FBgn0260439	Bger_24029
FBgn0028841	Bger_04116
FBgn0034539	Bger_14520
FBgn0264272	Bger_25256
FBgn0029580	Bger_11053
FBgn0032717	Bger_06285
FBgn0000153	Bger_13879
FBgn0265298	Bger_31487
FBgn0033460	Bger_00838
FBgn0010314	Bger_18439
FBgn0001259	Bger_18443
FBgn0034914	Bger_04169
FBgn0024196	Bger_21443
FBgn0023511	Bger_21317
FBgn0039312	Bger_03162
FBgn0267975	Bger_00021
FBgn0031059	Bger_01217
FBgn0243514	Bger_09342
FBgn0050493	Bger_19833
FBgn0032296	Bger_00316
FBgn0029911	Bger_06888
FBgn0031683	Bger_05781
FBgn0035293	Bger_20257
FBgn0028429	Bger_14968
FBgn0037723	Bger_04904
FBgn0034408	Bger_07628
FBgn0028717	Bger_11492
FBgn0034035	Bger_05105
FBgn0000404	Bger_00958
FBgn0039590	Bger_16434
FBgn0010398	Bger_11464
FBgn0036922	Bger_13875
FBgn0000566	Bger_01496
FBgn0082582	Bger_15139
FBgn0011571	Bger_21641
FBgn0034012	Bger_06496
FBgn0015396	Bger_12604
FBgn0032517	Bger_14051
FBgn0003041	Bger_11128
FBgn0036460	Bger_09103
FBgn0029155	Bger_14380
FBgn0015019	Bger_03594
FBgn0036063	Bger_05420
FBgn0263352	Bger_16573
FBgn0033463	Bger_12882
FBgn0037293	Bger_24887
FBgn0011283	Bger_01960
FBgn0032689	Bger_04843
FBgn0039576	Bger_21128
FBgn0040318	Bger_27188
FBgn0037831	Bger_26158
FBgn0037934	Bger_16309
FBgn0039240	Bger_11962
FBgn0031879	Bger_06204
FBgn0034654	Bger_03888
FBgn0032395	Bger_06677
FBgn0027569	Bger_04284
FBgn0053100	Bger_07664
FBgn0035964	Bger_16760
FBgn0003175	Bger_09440
FBgn0066365	Bger_18153
FBgn0022724	Bger_07751
FBgn0035253	Bger_02392
FBgn0031150	Bger_27292
